#DATE,AUTHORS,DISTROS
199508,16,29
199509,12,15
199510,22,32
199511,19,27
199512,22,37
199601,19,25
199602,15,19
199603,20,23
199604,21,29
199605,28,49
199606,30,46
199607,21,31
199608,31,39
199609,23,33
199610,31,38
199611,25,32
199612,35,44
199701,42,70
199702,42,63
199703,47,64
199704,35,53
199705,39,58
199706,39,56
199707,43,63
199708,60,89
199709,51,88
199710,54,90
199711,48,74
199712,65,98
199801,73,118
199802,70,103
199803,80,120
199804,59,90
199805,53,82
199806,78,112
199807,88,131
199808,75,118
199809,84,121
199810,89,151
199811,94,139
199812,80,112
199901,80,134
199902,90,135
199903,104,173
199904,106,167
199905,85,126
199906,101,183
199907,110,164
199908,111,165
199909,125,191
199910,107,156
199911,111,159
199912,96,137
200001,126,179
200002,117,180
200003,138,200
200004,130,204
200005,126,213
200006,123,190
200007,133,188
200008,138,206
200009,153,229
200010,136,191
200011,143,217
200012,143,202
200101,160,244
200102,177,270
200103,181,290
200104,163,258
200105,165,289
200106,196,324
200107,194,310
200108,175,317
200109,181,289
200110,211,348
200111,220,391
200112,199,317
200201,216,365
200202,228,355
200203,239,384
200204,251,368
200205,241,389
200206,233,346
200207,249,411
200208,256,455
200209,254,444
200210,246,376
200211,249,408
200212,244,393
200301,281,479
200302,256,404
200303,304,535
200304,285,462
200305,302,468
200306,310,543
200307,290,530
200308,333,575
200309,299,586
200310,306,539
200311,291,507
200312,287,524
200401,315,595
200402,315,562
200403,346,646
200404,306,582
200405,312,592
200406,291,527
200407,274,563
200408,287,505
200409,311,602
200410,303,580
200411,300,528
200412,289,601
200501,324,687
200502,308,559
200503,341,699
200504,309,633
200505,324,618
200506,321,566
200507,341,655
200508,355,653
200509,349,663
200510,350,639
200511,340,684
200512,308,595
200601,348,659
200602,327,623
200603,361,695
200604,331,611
200605,349,685
200606,371,671
200607,340,690
200608,336,656
200609,342,735
200610,354,656
200611,355,670
200612,297,518
200701,304,603
200702,328,626
200703,373,785
200704,357,645
200705,366,727
200706,353,611
200707,365,735
200708,368,664
200709,378,765
200710,353,770
200711,343,852
200712,384,720
200801,395,824
200802,390,853
200803,414,943
200804,395,912
200805,382,814
200806,428,945
200807,393,819
200808,385,817
200809,369,779
200810,418,880
200811,429,886
200812,410,798
200901,426,890
200902,392,830
200903,432,889
200904,433,1020
200905,446,1001
200906,412,944
200907,468,1061
200908,438,946
200909,428,903
200910,431,1007
200911,480,1120
200912,421,945
201001,467,1028
201002,444,939
201003,498,1162
201004,472,983
201005,431,953
201006,450,986
201007,421,938
201008,467,961
201009,461,1016
201010,453,913
201011,449,978
201012,460,1041
201101,469,1088
201102,483,1058
